lng,lat
114.21099,38.44425
-88.01199,42.21975
83.14165,43.55818
21.55949,49.00032
126.94350,35.77939
0.82600,41.53313
21.94507,40.24451
11.14439,50.13733
120.62597,22.73545
138.99155,37.84719
140.59658,37.17859
22.53901,39.54038
16.09367,40.93292
7.93026,44.94010
12.78706,50.91950
-7.25406,38.38129
141.46272,42.59588
14.42127,40.97172
-1.16755,38.12742
126.90114,36.13356
-70.57867,43.96982
19.91554,-33.41995
23.09256,38.56483
21.21933,48.73243
-79.19138,42.97138
12.15905,44.24091
-5.17586,37.53321
12.42581,45.61472
114.23536,41.10387
-2.97400,35.03379
136.98621,37.12191
-2.00923,51.17517
-76.79693,39.24637
12.19836,54.06259
22.45701,51.65343
11.99177,44.15722
-73.71215,42.93103
14.69443,48.16306
133.25130,34.94947
19.92781,-33.41002
-85.05229,42.34112
-69.65525,44.52866
15.05782,37.41333
22.47825,39.75177
-5.92985,42.04821
-1.00252,37.65744
-76.81930,37.95874
126.92560,35.76350
134.18967,35.13428
-58.13275,-32.38592
-73.70457,42.89699
12.98624,48.71399
107.57906,13.77317
12.59902,42.99086
13.70488,43.24783
105.61131,37.04402
18.17658,39.92591
114.31201,35.96934
12.18244,51.06287
8.16946,44.85235
9.21166,49.04781
15.34120,41.45834
21.55118,55.71225
7.27369,47.84161
22.21444,39.09726
2.97282,42.63152
21.42403,38.54672
12.50265,43.04439
-5.56977,54.57336
7.69891,44.52970
12.09384,50.80370
14.39490,51.75527
-2.96017,53.81514
25.93812,40.91663
-4.81877,42.03236
9.87461,52.15954
-2.86363,40.94283
9.31237,51.30420
11.67953,48.33441
22.70714,40.98643
9.45448,45.60904
11.73817,51.41937
-6.69329,38.33368
14.53071,36.80254
7.75331,44.55822
-69.69281,44.57252
17.86317,49.94514
21.79552,50.24269
16.26365,48.86740
-75.02038,39.78031
7.76963,44.57320
-2.47766,36.92677
4.35110,52.08319
